feature,category,phishing_mean,benign_mean,phishing_median,benign_median,mean_diff_phish_minus_benign,median_diff_phish_minus_benign,mannwhitney_p_value,ks_p_value,auc_direction_phish_larger,single_feature_auc,cliffs_delta,q_value,is_effective
pkt_len_kurtosis,packet_length_stats,-0.1076844919192916,-1.1243708091038094,-1.1969312889635866,-1.6993031115181845,1.0166863171845175,0.5023718225545977,2.413184184072629e-226,7.117978874457117e-224,0.6311016251625162,0.6311016251625162,0.2622032503250324,2.413184184072629e-224,True
first_10_pkt_len_mean,early_window,397.6003131662373,499.5867527380952,419.0,557.3,-101.986439571858,-138.29999999999995,4.9868625214451895e-217,6.759267644100542e-206,0.371650295029503,0.628349704970497,-0.256699409940994,2.493431260722595e-215,True
first_10_bytes_sum,early_window,3955.183518351835,4986.7804,4190.0,5573.0,-1031.5968816481643,-1383.0,4.089889101147965e-214,5.7395034864753e-209,0.3725227222722272,0.6274772777277728,-0.2549545554555456,1.3632963670493218e-212,True
first_20_bytes_sum,early_window,7243.239823982398,8743.1405,8043.0,8706.5,-1499.9006760176017,-663.5,5.181698362070698e-203,6.249503871910245e-159,0.3759053655365537,0.6240946344634464,-0.2481892689268926,1.2954245905176746e-201,True
first_20_pkt_len_mean,early_window,370.18320145401145,441.4994340867784,402.55,435.75,-71.31623263276691,-33.19999999999999,7.731490107797197e-203,2.0134424872073056e-157,0.3759594209420942,0.6240405790579058,-0.2480811581158115,1.5462980215594397e-201,True
burst_count_ratio_100ms,burst_100ms,0.1930103355992318,0.0973271071661499,0.053763440860215,0.0206005131405589,0.0956832284330819,0.0331629277196561,1.7042802094506116e-192,7.699070073512873e-180,0.6208031103110311,0.6208031103110311,0.2416062206220621,2.4346860135008734e-191,True
burst_size_mean_100ms,burst_100ms,105.79036936744826,156.61153003645418,18.6,48.54248366013072,-50.82116066900592,-29.94248366013072,1.7042802094506116e-192,7.699070073512873e-180,0.3791968896889689,0.6208031103110311,-0.2416062206220621,2.4346860135008734e-191,True
packet_count,basic_scale_time,1020.8520852085207,1481.5247,267.0,737.0,-460.6726147914791,-470.0,6.499814758631485e-192,6.40011171395097e-193,0.3793846684668467,0.6206153315331533,-0.2412306630663065,7.222016398479428e-191,True
iat_count,iat_stats,1019.8520852085207,1480.5247,266.0,736.0,-460.6726147914791,-470.0,6.499814758631485e-192,6.40011171395097e-193,0.3793846684668467,0.6206153315331533,-0.2412306630663065,7.222016398479428e-191,True
burst_size_max_100ms,burst_100ms,601.2337233723372,922.9617,92.0,332.5,-321.7279766276628,-240.5,9.958349288034903e-192,9.188835721225349e-161,0.3794415741574157,0.6205584258425842,-0.2411168516851685,9.958349288034903e-191,True
iat_lt_050_ratio,iat_thresholds,0.7875276997390681,0.8911544833386424,0.9246323529411764,0.9667495987407106,-0.1036267835995743,-0.0421172457995341,1.1623287650662968e-184,3.810083062215016e-195,0.3817080458045804,0.6182919541954195,-0.2365839083908391,1.0566625136966335e-183,True
burst_bytes_mean_100ms,burst_100ms,102769.88050468412,146259.10600748137,12677.6,39246.25,-43489.22550279726,-26568.65,1.2613320045099129e-182,2.2963352429223187e-192,0.3823690319031903,0.6176309680968097,-0.2352619361936193,1.0511100037582608e-181,True
total_bytes,basic_scale_time,982603.0284028404,1345548.4102,189597.0,590801.0,-362945.3817971598,-401204.0,2.8873352414767238e-182,9.28368464684194e-198,0.3824861486148614,0.6175138513851386,-0.235027702770277,2.062382315340517e-181,True
log_total_bytes,basic_scale_time,11.589219541929369,12.711510436765112,12.152661320224215,13.289236213905632,-1.1222908948357464,-1.1365748936814164,2.8873352414767238e-182,9.28368464684194e-198,0.3824861486148614,0.6175138513851386,-0.235027702770277,2.062382315340517e-181,True
burst_bytes_max_100ms,burst_100ms,598668.2237223722,864804.4518,70051.0,281455.0,-266136.22807762783,-211404.0,3.0901858657163976e-181,9.240204775980541e-176,0.3828224122412241,0.617177587758776,-0.2343551755175518,2.0601239104775984e-180,True
iat_gt_100_ratio,iat_thresholds,0.184430699336661,0.0916024713635072,0.0460992907801418,0.0182422370361742,0.0928282279731537,0.0278570537439675,7.123728047079981e-180,1.3142745529940347e-168,0.6167307080708071,0.6167307080708071,0.2334614161416142,4.4523300294249884e-179,True
burst_size_std_100ms,burst_100ms,170.58830454249568,263.1136077703954,23.60373052452845,82.57062730631966,-92.52530322789973,-58.96689678179121,6.773978624979337e-178,2.9904813450329407e-159,0.3839465496549655,0.6160534503450346,-0.232106900690069,3.984693308811375e-177,True
burst_duration_mean_100ms,burst_100ms,0.1577962015097909,0.2478237294565152,0.0701439380645751,0.1222318041892278,-0.0900275279467242,-0.0520878661246527,1.4900071174569775e-174,6.120530314437655e-143,0.3850286428642864,0.6149713571357136,-0.2299427142714271,8.277817319205432e-174,True
largest_pkt_fraction,packet_length_distribution,0.0523485274900275,0.0293323250302185,0.0077095812319553,0.0024813769828406,0.0230162024598089,0.0052282042491147,3.3304661363577795e-172,9.28368464684194e-198,0.6141859435943594,0.6141859435943594,0.2283718871887188,1.7528769138725158e-171,True
pkt_len_iqr,packet_length_stats,839.8513351335133,1095.3987,1154.0,1377.0,-255.54736486648665,-223.0,1.4505767205874526e-171,2.6256865922675862e-219,0.3865059455945595,0.6134940544054406,-0.226988108810881,7.252883602937262e-171,True
iat_skew,iat_stats,9.220807887959552,12.427963379125172,5.61669327429402,8.69154067928643,-3.2071554911656204,-3.074847404992409,2.70322982149285e-169,2.9712740613306626e-143,0.3867699719971997,0.6132300280028002,-0.2264600560056006,1.2287408279512957e-168,True
bin_2_pkt_count_ratio,time_bins,0.1849909762171853,0.251387589093665,0.1248142644873699,0.2052029779755557,-0.0663966128764796,-0.0803887134881857,5.371766774287392e-169,4.1403794967818e-153,0.3869475747574757,0.6130524252425242,-0.2261048504850484,2.3355507714293007e-168,True
iat_kurtosis,iat_stats,227.01094834004752,342.4997128774348,34.70196856834708,90.7015052525995,-115.48876453738724,-55.999536684252426,3.4659982147849107e-168,1.265663801670999e-139,0.3871456545654565,0.6128543454345434,-0.2257086908690869,1.3863992859139645e-167,True
bin_2_byte_fraction,time_bins,0.1878412061247971,0.2546985786768533,0.094986249206685,0.1990625295894664,-0.0668573725520561,-0.1040762803827814,2.4378109807185624e-168,4.934950189795429e-171,0.3871701720172017,0.6128298279827983,-0.2256596559655965,1.0157545752994009e-167,True
burst_bytes_std_100ms,burst_100ms,170951.2794783195,247596.72055380617,19140.19610975306,71799.25891686924,-76645.44107548665,-52659.06280711618,1.3555887054261319e-166,3.643606333410533e-170,0.3877373137313731,0.6122626862686269,-0.2245253725372537,5.21380271317743e-166,True
iat_gt_200_ratio,iat_thresholds,0.1586480200597317,0.0736855760370805,0.0188679245283018,0.0059562083933173,0.0849624440226512,0.0129117161349845,7.465215946400537e-166,8.485582568820432e-152,0.6119861536153616,0.6119861536153616,0.2239723072307231,2.7648947949631616e-165,True
first_5_bytes_fraction,early_window,0.1094281116633532,0.0532533691235725,0.0067331422721306,0.0025284497643651,0.0561747425397806,0.0042046925077654,3.2791889320157894e-165,1.783742670709918e-193,0.6118148164816481,0.6118148164816481,0.2236296329632963,1.1711389042913537e-164,True
pkt_len_std,packet_length_stats,502.7501624701492,579.1425613414112,581.554101888123,625.2176523637597,-76.39239887126206,-43.663550475636725,1.473389022437647e-159,2.1100561013959805e-194,0.3901395939593959,0.6098604060406041,-0.219720812081208,4.911296741458822e-159,True
pkt_len_var,packet_length_stats,298584.12650123046,358041.1377345351,338205.17342290137,390897.113037754,-59457.01123330463,-52691.93961485266,1.473389022437647e-159,2.1100561013959805e-194,0.3901395939593959,0.6098604060406041,-0.219720812081208,4.911296741458822e-159,True
iat_lt_020_ratio,iat_thresholds,0.7537679519210625,0.8639012943819037,0.8849557522123894,0.9397407109173316,-0.1101333424608411,-0.0547849587049422,1.4222099935086506e-158,2.1100561013959805e-194,0.3904835483548355,0.6095164516451645,-0.2190329032903289,4.587774172608551e-158,True
